Title,Description,Class Index,text,Predicted
Local team wins championship,The innovation could improve future technologies.,,Local team wins championship The innovation could improve future technologies.,2
Government announces economic policy,Experts believe the technology could expand rapidly.,,Government announces economic policy Experts believe the technology could expand rapidly.,3
Government announces economic policy,Experts believe the technology could expand rapidly.,,Government announces economic policy Experts believe the technology could expand rapidly.,3
Sports league announces new season schedule,The team dominated throughout the match.,,Sports league announces new season schedule The team dominated throughout the match.,2
Government announces economic policy,Experts say the development could change the industry.,,Government announces economic policy Experts say the development could change the industry.,3
Government announces economic policy,Experts say the development could change the industry.,,Government announces economic policy Experts say the development could change the industry.,3
Stock markets rise after earnings report,Experts say the development could change the industry.,,Stock markets rise after earnings report Experts say the development could change the industry.,3
Tech companies expand AI research,The innovation could improve future technologies.,,Tech companies expand AI research The innovation could improve future technologies.,4
Scientists discover new planet,Officials discussed the plan during a press conference.,,Scientists discover new planet Officials discussed the plan during a press conference.,4
Local team wins championship,The research was published earlier this week.,,Local team wins championship The research was published earlier this week.,2
Local team wins championship,The team dominated throughout the match.,,Local team wins championship The team dominated throughout the match.,2
New medical breakthrough announced,The research was published earlier this week.,,New medical breakthrough announced The research was published earlier this week.,4
Tech companies expand AI research,The research was published earlier this week.,,Tech companies expand AI research The research was published earlier this week.,4
Scientists develop new renewable energy method,Officials discussed the plan during a press conference.,,Scientists develop new renewable energy method Officials discussed the plan during a press conference.,4
Sports league announces new season schedule,The innovation could improve future technologies.,,Sports league announces new season schedule The innovation could improve future technologies.,2
Tech startup raises millions in funding,Experts say the development could change the industry.,,Tech startup raises millions in funding Experts say the development could change the industry.,4
Local team wins championship,Experts say the development could change the industry.,,Local team wins championship Experts say the development could change the industry.,4
Sports league announces new season schedule,Analysts are closely watching the market reaction.,,Sports league announces new season schedule Analysts are closely watching the market reaction.,2
Scientists develop new renewable energy method,The research was published earlier this week.,,Scientists develop new renewable energy method The research was published earlier this week.,4
New medical breakthrough announced,Experts believe the technology could expand rapidly.,,New medical breakthrough announced Experts believe the technology could expand rapidly.,4
Government announces economic policy,Experts say the development could change the industry.,,Government announces economic policy Experts say the development could change the industry.,3
New medical breakthrough announced,Researchers say the discovery could have major impact.,,New medical breakthrough announced Researchers say the discovery could have major impact.,4
New medical breakthrough announced,The innovation could improve future technologies.,,New medical breakthrough announced The innovation could improve future technologies.,4
New medical breakthrough announced,Experts believe the technology could expand rapidly.,,New medical breakthrough announced Experts believe the technology could expand rapidly.,4
New smartphone released by major brand,Investors responded positively to the announcement.,,New smartphone released by major brand Investors responded positively to the announcement.,3
New medical breakthrough announced,Experts say the development could change the industry.,,New medical breakthrough announced Experts say the development could change the industry.,4
Tech startup raises millions in funding,The research was published earlier this week.,,Tech startup raises millions in funding The research was published earlier this week.,4
Scientists discover new planet,Officials discussed the plan during a press conference.,,Scientists discover new planet Officials discussed the plan during a press conference.,4
New medical breakthrough announced,Officials discussed the plan during a press conference.,,New medical breakthrough announced Officials discussed the plan during a press conference.,1
Sports league announces new season schedule,Fans celebrated after the major victory.,,Sports league announces new season schedule Fans celebrated after the major victory.,2
New smartphone released by major brand,Experts say the development could change the industry.,,New smartphone released by major brand Experts say the development could change the industry.,4
New smartphone released by major brand,Analysts are closely watching the market reaction.,,New smartphone released by major brand Analysts are closely watching the market reaction.,4
Sports league announces new season schedule,Researchers say the discovery could have major impact.,,Sports league announces new season schedule Researchers say the discovery could have major impact.,2
New smartphone released by major brand,Fans celebrated after the major victory.,,New smartphone released by major brand Fans celebrated after the major victory.,1
Scientists discover new planet,Fans celebrated after the major victory.,,Scientists discover new planet Fans celebrated after the major victory.,4
Local team wins championship,Investors responded positively to the announcement.,,Local team wins championship Investors responded positively to the announcement.,2
Stock markets rise after earnings report,Investors responded positively to the announcement.,,Stock markets rise after earnings report Investors responded positively to the announcement.,3
New smartphone released by major brand,Experts say the development could change the industry.,,New smartphone released by major brand Experts say the development could change the industry.,4
Stock markets rise after earnings report,Researchers say the discovery could have major impact.,,Stock markets rise after earnings report Researchers say the discovery could have major impact.,4
Government announces economic policy,Analysts are closely watching the market reaction.,,Government announces economic policy Analysts are closely watching the market reaction.,3
Stock markets rise after earnings report,Analysts are closely watching the market reaction.,,Stock markets rise after earnings report Analysts are closely watching the market reaction.,3
Scientists develop new renewable energy method,Fans celebrated after the major victory.,,Scientists develop new renewable energy method Fans celebrated after the major victory.,4
Scientists discover new planet,Fans celebrated after the major victory.,,Scientists discover new planet Fans celebrated after the major victory.,4
Tech companies expand AI research,The innovation could improve future technologies.,,Tech companies expand AI research The innovation could improve future technologies.,4
New medical breakthrough announced,The team dominated throughout the match.,,New medical breakthrough announced The team dominated throughout the match.,2
New smartphone released by major brand,Experts believe the technology could expand rapidly.,,New smartphone released by major brand Experts believe the technology could expand rapidly.,4
Stock markets rise after earnings report,Experts believe the technology could expand rapidly.,,Stock markets rise after earnings report Experts believe the technology could expand rapidly.,3
Stock markets rise after earnings report,Researchers say the discovery could have major impact.,,Stock markets rise after earnings report Researchers say the discovery could have major impact.,4
Scientists develop new renewable energy method,Experts believe the technology could expand rapidly.,,Scientists develop new renewable energy method Experts believe the technology could expand rapidly.,4
Scientists develop new renewable energy method,Investors responded positively to the announcement.,,Scientists develop new renewable energy method Investors responded positively to the announcement.,4
Government announces economic policy,The innovation could improve future technologies.,,Government announces economic policy The innovation could improve future technologies.,3
Scientists discover new planet,The innovation could improve future technologies.,,Scientists discover new planet The innovation could improve future technologies.,4
Stock markets rise after earnings report,Analysts are closely watching the market reaction.,,Stock markets rise after earnings report Analysts are closely watching the market reaction.,3
Government announces economic policy,Officials discussed the plan during a press conference.,,Government announces economic policy Officials discussed the plan during a press conference.,1
Local team wins championship,The team dominated throughout the match.,,Local team wins championship The team dominated throughout the match.,2
Government announces economic policy,Fans celebrated after the major victory.,,Government announces economic policy Fans celebrated after the major victory.,1
New smartphone released by major brand,Researchers say the discovery could have major impact.,,New smartphone released by major brand Researchers say the discovery could have major impact.,4
New smartphone released by major brand,The team dominated throughout the match.,,New smartphone released by major brand The team dominated throughout the match.,2
Sports league announces new season schedule,Experts believe the technology could expand rapidly.,,Sports league announces new season schedule Experts believe the technology could expand rapidly.,2
Scientists develop new renewable energy method,Analysts are closely watching the market reaction.,,Scientists develop new renewable energy method Analysts are closely watching the market reaction.,4
Tech companies expand AI research,The team dominated throughout the match.,,Tech companies expand AI research The team dominated throughout the match.,4
Sports league announces new season schedule,The team dominated throughout the match.,,Sports league announces new season schedule The team dominated throughout the match.,2
Local team wins championship,Experts say the development could change the industry.,,Local team wins championship Experts say the development could change the industry.,4
Stock markets rise after earnings report,Analysts are closely watching the market reaction.,,Stock markets rise after earnings report Analysts are closely watching the market reaction.,3
Tech startup raises millions in funding,Analysts are closely watching the market reaction.,,Tech startup raises millions in funding Analysts are closely watching the market reaction.,4
Government announces economic policy,Researchers say the discovery could have major impact.,,Government announces economic policy Researchers say the discovery could have major impact.,4
New medical breakthrough announced,Officials discussed the plan during a press conference.,,New medical breakthrough announced Officials discussed the plan during a press conference.,1
Stock markets rise after earnings report,Officials discussed the plan during a press conference.,,Stock markets rise after earnings report Officials discussed the plan during a press conference.,3
Scientists discover new planet,The team dominated throughout the match.,,Scientists discover new planet The team dominated throughout the match.,4
Government announces economic policy,Analysts are closely watching the market reaction.,,Government announces economic policy Analysts are closely watching the market reaction.,3
Scientists discover new planet,Investors responded positively to the announcement.,,Scientists discover new planet Investors responded positively to the announcement.,4
Tech startup raises millions in funding,Researchers say the discovery could have major impact.,,Tech startup raises millions in funding Researchers say the discovery could have major impact.,4
Local team wins championship,The research was published earlier this week.,,Local team wins championship The research was published earlier this week.,2
Sports league announces new season schedule,The team dominated throughout the match.,,Sports league announces new season schedule The team dominated throughout the match.,2
Tech startup raises millions in funding,Analysts are closely watching the market reaction.,,Tech startup raises millions in funding Analysts are closely watching the market reaction.,4
Local team wins championship,Officials discussed the plan during a press conference.,,Local team wins championship Officials discussed the plan during a press conference.,2
Tech startup raises millions in funding,Officials discussed the plan during a press conference.,,Tech startup raises millions in funding Officials discussed the plan during a press conference.,1
Tech companies expand AI research,The team dominated throughout the match.,,Tech companies expand AI research The team dominated throughout the match.,4
Government announces economic policy,Analysts are closely watching the market reaction.,,Government announces economic policy Analysts are closely watching the market reaction.,3
New medical breakthrough announced,Officials discussed the plan during a press conference.,,New medical breakthrough announced Officials discussed the plan during a press conference.,1
Sports league announces new season schedule,Investors responded positively to the announcement.,,Sports league announces new season schedule Investors responded positively to the announcement.,2
Local team wins championship,Experts believe the technology could expand rapidly.,,Local team wins championship Experts believe the technology could expand rapidly.,4
Tech companies expand AI research,The innovation could improve future technologies.,,Tech companies expand AI research The innovation could improve future technologies.,4
Stock markets rise after earnings report,Investors responded positively to the announcement.,,Stock markets rise after earnings report Investors responded positively to the announcement.,3
New medical breakthrough announced,Experts say the development could change the industry.,,New medical breakthrough announced Experts say the development could change the industry.,4
Sports league announces new season schedule,Experts say the development could change the industry.,,Sports league announces new season schedule Experts say the development could change the industry.,2
Stock markets rise after earnings report,Researchers say the discovery could have major impact.,,Stock markets rise after earnings report Researchers say the discovery could have major impact.,4
Scientists develop new renewable energy method,Investors responded positively to the announcement.,,Scientists develop new renewable energy method Investors responded positively to the announcement.,4
Sports league announces new season schedule,Researchers say the discovery could have major impact.,,Sports league announces new season schedule Researchers say the discovery could have major impact.,2
Stock markets rise after earnings report,Experts say the development could change the industry.,,Stock markets rise after earnings report Experts say the development could change the industry.,3
Government announces economic policy,The research was published earlier this week.,,Government announces economic policy The research was published earlier this week.,3
Government announces economic policy,Investors responded positively to the announcement.,,Government announces economic policy Investors responded positively to the announcement.,3
New smartphone released by major brand,Researchers say the discovery could have major impact.,,New smartphone released by major brand Researchers say the discovery could have major impact.,4
Sports league announces new season schedule,Experts believe the technology could expand rapidly.,,Sports league announces new season schedule Experts believe the technology could expand rapidly.,2
Sports league announces new season schedule,Analysts are closely watching the market reaction.,,Sports league announces new season schedule Analysts are closely watching the market reaction.,2
Tech startup raises millions in funding,Investors responded positively to the announcement.,,Tech startup raises millions in funding Investors responded positively to the announcement.,4
Scientists develop new renewable energy method,The research was published earlier this week.,,Scientists develop new renewable energy method The research was published earlier this week.,4
Tech companies expand AI research,Experts say the development could change the industry.,,Tech companies expand AI research Experts say the development could change the industry.,4
Scientists develop new renewable energy method,Experts say the development could change the industry.,,Scientists develop new renewable energy method Experts say the development could change the industry.,4
Stock markets rise after earnings report,Fans celebrated after the major victory.,,Stock markets rise after earnings report Fans celebrated after the major victory.,3
